input,target
48.25753094131039,0
74.50500019030902,1
10.824636862709966,0
37.99040146662396,0
21.74397659995958,0
18.155982335381275,0
26.670986705448794,0
40.86259016841746,0
44.95340991565833,0
60.34494395487563,1
47.93660297287205,0
73.22477103004145,1
27.831553822324597,0
87.96877251387424,1
12.59713116673314,0
69.77883931193874,1
49.94757817537494,0
60.527507409306764,1
23.78742360858164,0
27.604898245515592,0
81.74094987503817,1
97.11263039714164,1
38.563893295907874,0
73.15862225533309,1
88.75286969153176,1
89.83374814132895,1
16.586102446793458,0
13.438251128253679,0
25.857700486767957,0
89.49077238495691,1
18.833397495920572,0
47.29954745121908,0
96.35682297693207,1
58.55668052643652,1
72.23212259902557,1
38.50877527933789,0
71.63457916569209,1
86.03180973882614,1
11.207744693638594,0
77.69852396601364,1
99.39192603159663,1
78.0604314524391,1
36.73584405168094,0
81.71059336983818,1
19.889553827447042,0
48.84018026681015,0
92.37999922268243,1
38.71899096598833,0
35.06976948720371,0
20.683051641239274,0
11.528372366100713,0
72.11644609068908,1
29.571280932302138,0
33.42207513703102,0
54.205594153503256,0
15.839668042311143,0
62.343204242402656,1
25.63444871104589,0
64.0431850016068,1
73.33181961788644,1
19.82482487033177,0
46.9160547128456,0
71.51824119396409,1
47.44809138958883,0
14.986372348957483,0
56.835393507330714,1
69.2191616046453,1
55.9707641834188,1
95.27917044168748,1
62.52948758631398,1
91.75126908625408,1
22.47083561938337,0
23.595198761725076,0
80.95404832423264,1
47.44803996674094,0
26.29955175352331,0
93.52608932179018,1
41.94925059134794,0
78.17963768266729,1
74.6025290537807,1
89.66221327437209,1
66.90867281410436,1
77.89463582106782,1
42.45217154585458,0
34.38850636892151,0
90.71051062626904,1
47.76040334239198,0
96.47106619364806,1
69.25001712262225,1
67.6580983365764,1
20.56764311795113,0
94.45460678227823,1
50.89069040135609,0
61.86306159821081,1
43.678547868089,0
31.812280593026312,0
89.751458067426,1
62.20961822076197,1
9.297065833773798,0
64.08471776547199,1
39.892382810471034,0
55.94103543791015,1
89.28808973449259,1
42.35865579514614,0
92.38039610590998,1
66.8472949577029,1
11.387630567636362,0
92.81695568924982,1
74.10453800249408,1
99.15307522009464,1
27.314234732566067,0
21.88969249331497,0
95.09487736668653,1
73.78360007304114,1
14.89448129760873,0
78.3469592412282,1
78.60424899070303,1
93.77319032070675,1
73.83829082627857,1
21.486346622900967,0
11.394522364586045,0
11.187175439773613,0
13.531596158811753,0
31.59931466235557,0
88.78227357306613,1
59.09724669198836,1
58.86133140820604,1
